file,func,tool,gt_binary,pred_binary,message,is_correct
alloc.c,hi_free,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
alloc.c,hiredisResetAllocators,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisAsyncCommand,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisAsyncCopyError,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisAsyncDisconnect,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisAsyncFree,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisAsyncHandleConnect,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisAsyncHandleConnectFailure,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisGetSubscribeCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisPushCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisRunCallback,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisRunConnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisRunDisconnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisRunPushCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,__redisSetError,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,__redisShiftCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,callbackKeyCompare,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,callbackKeyDestructor,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,callbackValDestructor,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncCommand,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncCommandArgv,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncDisconnect,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncFormattedCommand,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncFree,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncHandleRead,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,redisAsyncHandleTimeout,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncHandleWrite,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,redisAsyncRead,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncSetConnectCallback,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncSetConnectCallbackNC,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncSetDisconnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,redisAsyncSetTimeout,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisAsyncWrite,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
async.c,redisIsSubscribeReply,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,redisProcessCallbacks,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
async.c,redisvAsyncCommand,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,_dictClear,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
dict.c,_dictExpandIfNeeded,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
dict.c,_dictInit,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,_dictKeyIndex,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,_dictReset,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictAdd,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictDelete,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictExpand,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictInitIterator,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictRelease,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
dict.c,dictReplace,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ae.c,connectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ae.c,disconnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ae.c,getCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ae.c,main,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ivykis.c,connectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ivykis.c,disconnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ivykis.c,getCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-ivykis.c,main,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-libev.c,connectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-libev.c,disconnectCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
examples\example-libev.c,getCallback,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
