file,func,tool,gt_multiclass,pred_multiclass,message,is_correct
cJSON.c,case_insensitive_strcmp,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON.c,cast_away_const,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON.c,minify_string,nan,CWE-787,NO_CWE,LLM as reference GT,False
cJSON.c,parse_hex4,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON.c,skip_multiline_comment,nan,CWE-125,NO_CWE,LLM as reference GT,False
cJSON.c,skip_oneline_comment,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON.c,suffix_object,nan,CWE-476,NO_CWE,LLM as reference GT,False
cJSON.c,update_offset,nan,CWE-125,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,apply_patch,nan,CWE-125,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,compare_strings,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON_Utils.c,compose_patch,nan,CWE-787,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,create_patches,nan,CWE-120,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,decode_pointer_inplace,nan,CWE-787,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,encode_string_as_pointer,nan,CWE-120,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,overwrite_item,nan,CWE-416,NO_CWE,LLM as reference GT,False
cJSON_Utils.c,pointer_encoded_length,nan,NO_CWE,NO_CWE,LLM as reference GT,True
cJSON_Utils.c,sort_object,nan,NO_CWE,NO_CWE,LLM as reference GT,True
fuzzing\afl.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
fuzzing\cjson_read_fuzzer.c,LLVMFuzzerTestOneInput,nan,CWE-787,NO_CWE,LLM as reference GT,False
fuzzing\fuzz_main.c,LLVMFuzzerTestOneInput,nan,NO_CWE,NO_CWE,LLM as reference GT,True
fuzzing\fuzz_main.c,main,nan,CWE-131,NO_CWE,LLM as reference GT,False
test.c,create_objects,nan,CWE-369,NO_CWE,LLM as reference GT,False
test.c,print_preallocated,nan,CWE-787,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cJSON_add_array_should_add_array,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cJSON_add_object_should_add_object,nan,CWE-476,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cjson_add_array_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_array_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_bool_should_add_bool,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_bool_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_bool_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_false_should_add_false,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_false_should_fail_on_allocation_failure,nan,CWE-476,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cjson_add_false_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_null_should_add_null,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_null_should_fail_on_allocation_failure,nan,CWE-476,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cjson_add_null_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_number_should_add_number,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_number_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_number_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_object_should_fail_on_allocation_failure,nan,CWE-252,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cjson_add_object_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_raw_should_add_raw,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_raw_should_fail_on_allocation_failure,nan,CWE-476,NO_CWE,LLM as reference GT,False
tests\cjson_add.c,cjson_add_raw_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_string_should_add_string,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_string_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_string_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_true_should_add_true,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_true_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_add_true_should_fail_with_null_pointers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_create_double_array_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_create_float_array_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_create_int_array_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\cjson_add.c,cjson_create_string_array_should_fail_on_allocation_failure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_arrays,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_booleans,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_invalid_as_not_equal,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_null,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_null_pointer_as_not_equal,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_numbers,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_objects,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_compare_raw,nan,CWE-119,NO_CWE,LLM as reference GT,False
tests\compare_tests.c,cjson_compare_should_compare_strings,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\compare_tests.c,cjson_compare_should_not_accept_invalid_types,nan,CWE-754,NO_CWE,LLM as reference GT,False
tests\json_patch_tests.c,cjson_utils_should_pass_json_patch_test_cjson_utils_tests,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\json_patch_tests.c,cjson_utils_should_pass_json_patch_test_spec_tests,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\json_patch_tests.c,cjson_utils_should_pass_json_patch_test_tests,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\json_patch_tests.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\minify_tests.c,cjson_minify_should_not_overflow_buffer,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\minify_tests.c,cjson_minify_should_remove_single_line_comments,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\minify_tests.c,cjson_minify_should_remove_spaces,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_add_item_to_object_or_array_should_not_add_itself,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_add_item_to_object_should_not_use_after_free_when_string_is_aliased,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_array_foreach_should_loop_over_arrays,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_array_foreach_should_not_dereference_null_pointer,nan,CWE-476,NO_CWE,LLM as reference GT,False
tests\misc_tests.c,cjson_create_array_reference_should_create_an_array_reference,nan,CWE-415,NO_CWE,LLM as reference GT,False
tests\misc_tests.c,cjson_create_object_reference_should_create_an_object_reference,nan,CWE-416,NO_CWE,LLM as reference GT,False
tests\misc_tests.c,cjson_create_string_reference_should_create_a_string_reference,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_delete_item_from_array_should_not_broken_list_structure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_detach_item_via_pointer_should_detach_items,nan,NO_CWE,NO_CWE,LLM as reference GT,True
tests\misc_tests.c,cjson_detach_item_via_pointer_should_return_null_if_item_prev_is_null,nan,NO_CWE,NO_CWE,LLM as reference GT,True
