file_path,func_name,sast_vulnerable,llm_vulnerable,sast_cwes,llm_cwes,note
examples\zpipe.c,inf,True,False,"CWE-119,CWE-398",,SAST only
contrib\testzlib\testzlib.c,BeginCountPerfCounter,False,True,,CWE-476,LLM only
test\minigzip.c,gz_compress,True,False,CWE-119,,SAST only
contrib\testzlib\testzlib.c,myGetRDTSC32,True,False,CWE-398,,SAST only
contrib\minizip\minizip.c,do_banner,True,False,,,SAST only
contrib\minizip\miniunz.c,do_banner,True,False,,,SAST only
contrib\minizip\miniunz.c,makedir,True,False,"CWE-120,CWE-126,CWE-570,CWE-571",,SAST only
contrib\minizip\miniunz.c,mymkdir,True,False,"CWE-570,CWE-571",,SAST only
examples\zran.c,inflatePreface,True,False,"CWE-119,CWE-120,CWE-562",,SAST only
examples\gzappend.c,main,True,False,CWE-563,,SAST only
contrib\minizip\minizip.c,getFileCrc,True,False,CWE-398,,SAST only
test\infcover.c,main,True,False,,,SAST only
test\minigzip.c,gz_uncompress,True,False,"CWE-119,CWE-398",,SAST only
examples\zran.c,main,True,False,"CWE-119,CWE-362,CWE-686,CWE-775",,SAST only
test\minigzip.c,gzread,True,False,"CWE-119,CWE-398",,SAST only
contrib\minizip\minizip.c,isLargeFile,True,False,"CWE-398,CWE-563",,SAST only
contrib\iostream3\test.cc,main,True,False,CWE-119,,SAST only
contrib\minizip\minizip.c,do_help,True,False,,,SAST only
test\minigzip.c,gzwrite,True,False,"CWE-119,CWE-457",,SAST only
test\minigzip.c,gz_compress_mmap,False,True,,CWE-131,LLM only
contrib\minizip\miniunz.c,do_help,True,False,,,SAST only
test\example.c,test_deflate,True,False,CWE-126,,SAST only
contrib\minizip\miniunz.c,do_extract_onefile,True,False,,,SAST only
contrib\minizip\miniunz.c,Display64BitsSize,True,False,CWE-119,,SAST only
contrib\testzlib\testzlib.c,BeginCountRdtsc,True,False,CWE-398,,SAST only
inftrees.c,main,True,False,CWE-686,,SAST only
examples\zpipe.c,def,True,False,"CWE-119,CWE-398",,SAST only
test\minigzip.c,gzclose,True,False,"CWE-119,CWE-457",,SAST only
contrib\blast\blast-test.c,main,True,False,"CWE-120,CWE-398",,SAST only
test\minigzip.c,main,True,False,"CWE-119,CWE-362,CWE-398",,SAST only
test\example.c,main,True,False,,,SAST only
contrib\minizip\ioapi.c,fill_fopen_filefunc,False,True,,CWE-476,LLM only
test\minigzip.c,error,True,False,,,SAST only
