file_path,func_name,has_CWE,cwe_id,analyzer_message,analyzer_type,line_range
crc32.c,main,False,,The function simply calls make_crc_table() and returns 0. No obvious security vulnerabilities detected.,LLM_ANALYSIS,449-452
contrib\iostream\test.cpp,main,False,,"No security vulnerability detected. The function writes to standard output using a gzofstream object, which is a valid use of the library.",LLM_ANALYSIS,4-24
inftrees.c,main,False,,The function calls inflate_fixed(&state) which initializes the state's lencode and distcode arrays. The loops then access state.lencode[low] and state.distcode[low] for indices up to size-1.,LLM_ANALYSIS,386-423
contrib\blast\blast-test.c,main,False,,"The function does not appear to contain a direct security vulnerability. It calls blast() with a pointer to left to track unused bytes, then counts remaining input bytes with getchar().",LLM_ANALYSIS,23-42
contrib\infback9\infback9.c,makefixed9,True,CWE-787,[CWE-787] The function writes to the fixed[544] array via inflate_table9. The literal/length table uses 288 entries and the distance table uses 32 entries.,LLM_ANALYSIS,50-106
inftrees.c,inflate_fixed,False,,The function assigns fixed pointers and bit counts to state fields without validating that the state pointer is non-NULL or that the fixed tables are initialized. This could lead to a null pointer dereference or use of uninitialized data if state is NULL or if the tables are not built.,LLM_ANALYSIS,364-372
contrib\iostream2\zstream_test.cpp,main,True,CWE-120,"[CWE-120] The function uses custom stream operators (< and >) for ozstream/izstream which are not standard C++ operators. The behavior of these operators is unknown, but if they are implemented like standard stream operators, there is a potential buffer overflow when reading into 'y' (new char[256]) and 'z' (",LLM_ANALYSIS,6-25
contrib\iostream3\test.cc,main,False,,"The function uses fixed-size buffer 'char buf[80]' with getline(buf, 80, 'n'), which limits input to 79 characters plus null terminator, preventing buffer overflow. However, the code does not check for file open errors, which could lead to undefined behavior if files cannot be opened.",LLM_ANALYSIS,11-50
contrib\minizip\ioapi.c,call_zseek64,False,,"The function truncates a 64-bit offset to a 32-bit value when the 64-bit seek function is not available. It checks if the truncated value differs from the original and returns -1 if so, which prevents an incorrect seek.",LLM_ANALYSIS,40-51
contrib\minizip\ioapi.c,fill_fopen_filefunc,True,CWE-476,"[CWE-476] The function assigns function pointers to a struct without validating the pointer argument. If pzlib_filefunc_def is NULL, a null pointer dereference occurs.",LLM_ANALYSIS,211-220
contrib\minizip\ioapi.c,fill_zlib_filefunc64_32_def_from_filefunc32,False,,"The function copies function pointers from a 32-bit file function structure to a 64-bit structure. It sets the 64-bit open, tell, and seek functions to NULL, which could lead to null pointer dereference if these functions are called later.",LLM_ANALYSIS,66-78
contrib\minizip\iowin32.c,fill_win32_filefunc64,False,,"The function assigns function pointers to a structure without validating the pointer or the structure. However, this is a simple initialization function and does not directly introduce a security vulnerability.",LLM_ANALYSIS,414-423
contrib\minizip\ioapi.c,fill_fopen64_filefunc,False,,"The function assigns function pointers to a struct without validating the pointer argument. If pzlib_filefunc_def is NULL, a null pointer dereference occurs.",LLM_ANALYSIS,222-231
contrib\minizip\iowin32.c,fill_win32_filefunc64A,False,,"The function assigns function pointers to a struct without validating the pointer or the struct itself. If the caller passes a NULL pointer or an invalid pointer, it will cause a NULL pointer dereference or memory corruption.",LLM_ANALYSIS,426-435
contrib\minizip\iowin32.c,fill_win32_filefunc,False,,The function assigns function pointers to a zlib_filefunc_def structure. No direct vulnerability is present in this code snippet.,LLM_ANALYSIS,403-412
contrib\minizip\iowin32.c,fill_win32_filefunc64W,False,,"The function assigns function pointers to a struct without validating the pointer or the struct. However, this is a common pattern for initializing a function table and does not inherently introduce a vulnerability.",LLM_ANALYSIS,438-447
contrib\minizip\miniunz.c,change_file_date,False,,"The function does not check the return value of CreateFileA, GetFileTime, or SetFileTime. If CreateFileA fails, hFile is INVALID_HANDLE_VALUE, and subsequent calls to GetFileTime/SetFileTime will fail, but the code continues without error handling.",LLM_ANALYSIS,86-121
contrib\minizip\miniunz.c,mymkdir,False,,"The function creates a directory with a fixed permission mask (0775) on Unix-like systems, which is generally safe. No obvious security vulnerability such as path traversal, command injection, or buffer overflow is present.",LLM_ANALYSIS,127-137
contrib\minizip\miniunz.c,makedir,False,,"The function does not validate the length of the input string before allocating memory, but it uses strlen and malloc(len+1) which is safe. However, there is a potential buffer over-read if the input string is empty (len==0) is handled, but if len>0 and the last character is '/', it modifies buffer.",LLM_ANALYSIS,139-185
contrib\minizip\miniunz.c,do_banner,False,,The function only prints static strings and does not handle any external input or perform any security-sensitive operations. No vulnerability detected.,LLM_ANALYSIS,187-190
contrib\minizip\miniunz.c,do_help,False,,The function only prints a usage message and does not perform any security-sensitive operations. No vulnerability detected.,LLM_ANALYSIS,192-201
contrib\minizip\miniunz.c,do_extract_currentfile,True,CWE-221,"[CWE-221] The function has a path traversal vulnerability. The code attempts to sanitize the filename by skipping leading '/' and '.' characters, but this is insufficient.",LLM_ANALYSIS,306-474
contrib\minizip\miniunz.c,do_list,True,CWE-121,"[CWE-121] The function uses a fixed-size stack buffer of 65537 bytes for filename_inzip, which is passed to unzGetCurrentFileInfo64 with its size. If the library does not properly null-terminate the filename or if the filename length exceeds the buffer, it could lead to a buffer overflow.",LLM_ANALYSIS,230-303
contrib\minizip\miniunz.c,do_extract_onefile,False,,"The function itself does not contain a direct vulnerability. However, it passes the address of the local variable 'opt_extract_without_path' to the function 'do_extract_currentfile', which may modify it.",LLM_ANALYSIS,511-521
contrib\minizip\miniunz.c,Display64BitsSize,False,,"The function writes to a fixed-size buffer 'number' of size 21. The loop decrements 'offset' from 19 to 0, writing at most 20 characters (indices 0-19) plus the null terminator at index 20, which is safe.",LLM_ANALYSIS,203-228
contrib\minizip\miniunz.c,do_extract,True,CWE-221,"[CWE-221] The function iterates over zip entries and calls do_extract_currentfile, which may be vulnerable to path traversal (zip slip) if it does not properly sanitize file paths. The function itself does not validate the number of entries or handle potential integer overflow in the loop counter, but the key",LLM_ANALYSIS,477-509
contrib\minizip\minizip.c,check_exist_file,False,,The function checks for file existence by opening it in read-binary mode and closing it. No security vulnerability is apparent.,LLM_ANALYSIS,153-162
contrib\minizip\minizip.c,filetime,False,,The function is a stub that does nothing with its parameters and returns 0. No security vulnerabilities detected.,LLM_ANALYSIS,142-147
contrib\minizip\minizip.c,isLargeFile,False,,"The function checks if a file is larger than 4GB by seeking to the end and using ftello. Potential issues: (1) If the file is a directory or special file, ftello may return -1, which is cast to ZPOS64_T (likely unsigned 64-bit) and becomes a huge value, incorrectly setting largeFile=1.",LLM_ANALYSIS,219-238
contrib\minizip\minizip.c,main,True,CWE-787,"[CWE-787] The function has a buffer overflow vulnerability in the handling of 'filename_try'. The array is declared as 'char filename_try[MAXFILENAME+16]', but the code uses 'strncpy(filename_try, argv[zipfilenamearg], MAXFILENAME-1)' and then sets 'filename_try[MAXFILENAME] = '0''.",LLM_ANALYSIS,240-511
