file,func,tool,gt_multiclass,pred_multiclass,message,is_correct
contrib\blast\blast-test.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\infback9\infback9.c,makefixed9,nan,CWE-787,NO_CWE,LLM as reference GT,False
contrib\iostream2\zstream_test.cpp,main,nan,CWE-120,NO_CWE,LLM as reference GT,False
contrib\iostream3\test.cc,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\iostream\test.cpp,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,call_zseek64,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen64_filefunc,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen_filefunc,nan,CWE-476,NO_CWE,LLM as reference GT,False
contrib\minizip\ioapi.c,fill_zlib_filefunc64_32_def_from_filefunc32,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64A,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64W,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,Display64BitsSize,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,change_file_date,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_banner,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_extract,nan,CWE-221,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_currentfile,nan,CWE-221,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_onefile,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_help,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_list,nan,CWE-121,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,main,nan,CWE-120,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,makedir,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,mymkdir,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,check_exist_file,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,do_banner,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,do_help,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,filetime,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,getFileCrc,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,isLargeFile,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,main,nan,CWE-787,NO_CWE,LLM as reference GT,False
contrib\puff\bin-writer.c,main,nan,CWE-125,NO_CWE,LLM as reference GT,False
contrib\puff\pufftest.c,main,nan,CWE-787,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,BeginCountPerfCounter,nan,CWE-476,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,BeginCountRdtsc,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\testzlib\testzlib.c,MyDoMinus64,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\testzlib\testzlib.c,ReadFileMemory,nan,CWE-190,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,main,nan,CWE-190,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,myGetRDTSC32,nan,NO_CWE,NO_CWE,LLM as reference GT,True
crc32.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\enough.c,main,nan,CWE-190,NO_CWE,LLM as reference GT,False
examples\fitblk.c,main,nan,CWE-120,NO_CWE,LLM as reference GT,False
examples\gun.c,main,nan,CWE-125,NO_CWE,LLM as reference GT,False
examples\gzappend.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\gzjoin.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\gzlog.c,gzlog_close,nan,CWE-416,NO_CWE,LLM as reference GT,False
examples\gzlog.c,gzlog_compress,nan,CWE-120,NO_CWE,LLM as reference GT,False
examples\gzlog.c,gzlog_write,nan,CWE-120,NO_CWE,LLM as reference GT,False
examples\gznorm.c,main,nan,CWE-457,NO_CWE,LLM as reference GT,False
examples\zpipe.c,def,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zpipe.c,inf,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zpipe.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zpipe.c,zerr,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zran.c,deflate_index_build,nan,CWE-457,NO_CWE,LLM as reference GT,False
examples\zran.c,deflate_index_free,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zran.c,inflatePreface,nan,NO_CWE,NO_CWE,LLM as reference GT,True
examples\zran.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
inftrees.c,inflate_fixed,nan,NO_CWE,NO_CWE,LLM as reference GT,True
inftrees.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\example.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\example.c,myfree,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\example.c,test_deflate,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\example.c,test_dict_deflate,nan,CWE-787,NO_CWE,LLM as reference GT,False
test\example.c,test_flush,nan,CWE-787,NO_CWE,LLM as reference GT,False
test\example.c,test_gzio,nan,CWE-120,NO_CWE,LLM as reference GT,False
test\infcover.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,error,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,file_compress,nan,CWE-121,NO_CWE,LLM as reference GT,False
test\minigzip.c,file_uncompress,nan,CWE-120,NO_CWE,LLM as reference GT,False
test\minigzip.c,gz_compress,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,gz_compress_mmap,nan,CWE-131,NO_CWE,LLM as reference GT,False
test\minigzip.c,gz_uncompress,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,gzclose,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,gzread,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,gzwrite,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,main,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,myfree,nan,NO_CWE,NO_CWE,LLM as reference GT,True
test\minigzip.c,pwinerror,nan,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\blast\blast-test.c,main,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
contrib\infback9\infback9.c,makefixed9,cppcheck,CWE-787,NO_CWE,LLM as reference GT,False
contrib\iostream2\zstream_test.cpp,main,cppcheck,CWE-120,CWE-398,LLM as reference GT,False
contrib\iostream3\test.cc,main,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\iostream\test.cpp,main,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,call_zseek64,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen64_filefunc,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen_filefunc,cppcheck,CWE-476,NO_CWE,LLM as reference GT,False
contrib\minizip\ioapi.c,fill_zlib_filefunc64_32_def_from_filefunc32,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64A,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64W,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,Display64BitsSize,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,change_file_date,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_banner,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_extract,cppcheck,CWE-221,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_currentfile,cppcheck,CWE-221,CWE-563,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_onefile,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_help,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_list,cppcheck,CWE-121,NO_CWE,LLM as reference GT,False
contrib\minizip\miniunz.c,main,cppcheck,CWE-120,CWE-398,LLM as reference GT,False
contrib\minizip\miniunz.c,makedir,cppcheck,NO_CWE,CWE-571,LLM as reference GT,False
contrib\minizip\miniunz.c,mymkdir,cppcheck,NO_CWE,CWE-571,LLM as reference GT,False
contrib\minizip\minizip.c,check_exist_file,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,do_banner,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,do_help,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,filetime,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\minizip\minizip.c,getFileCrc,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
contrib\minizip\minizip.c,isLargeFile,cppcheck,NO_CWE,CWE-563,LLM as reference GT,False
contrib\minizip\minizip.c,main,cppcheck,CWE-787,CWE-398,LLM as reference GT,False
contrib\puff\bin-writer.c,main,cppcheck,CWE-125,NO_CWE,LLM as reference GT,False
contrib\puff\pufftest.c,main,cppcheck,CWE-787,CWE-398,LLM as reference GT,False
contrib\testzlib\testzlib.c,BeginCountPerfCounter,cppcheck,CWE-476,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,BeginCountRdtsc,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
contrib\testzlib\testzlib.c,MyDoMinus64,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
contrib\testzlib\testzlib.c,ReadFileMemory,cppcheck,CWE-190,NO_CWE,LLM as reference GT,False
contrib\testzlib\testzlib.c,main,cppcheck,CWE-190,CWE-563,LLM as reference GT,False
contrib\testzlib\testzlib.c,myGetRDTSC32,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
crc32.c,main,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
examples\enough.c,main,cppcheck,CWE-190,NO_CWE,LLM as reference GT,False
examples\fitblk.c,main,cppcheck,CWE-120,NO_CWE,LLM as reference GT,False
examples\gun.c,main,cppcheck,CWE-125,CWE-570,LLM as reference GT,False
examples\gzappend.c,main,cppcheck,NO_CWE,CWE-563,LLM as reference GT,False
examples\gzjoin.c,main,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
examples\gzlog.c,gzlog_close,cppcheck,CWE-416,NO_CWE,LLM as reference GT,False
examples\gzlog.c,gzlog_compress,cppcheck,CWE-120,CWE-398,LLM as reference GT,False
examples\gzlog.c,gzlog_write,cppcheck,CWE-120,CWE-570,LLM as reference GT,False
examples\gznorm.c,main,cppcheck,CWE-457,NO_CWE,LLM as reference GT,False
examples\zpipe.c,def,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
examples\zpipe.c,inf,cppcheck,NO_CWE,CWE-398,LLM as reference GT,False
examples\zpipe.c,main,cppcheck,NO_CWE,NO_CWE,LLM as reference GT,True
