file_path,func_name,has_CWE,cwe_id,analyzer_message,analyzer_type,line_range
crc32.c,main,False,,No issues found by SAST,None,449-452
inftrees.c,inflate_fixed,False,,No issues found by SAST,None,364-372
inftrees.c,main,True,CWE-686,%u in format string (no. 1) requires 'unsigned int' but the argument type is 'signed int'.,SAST_CPPCHECK,386-423
inftrees.c,main,True,,printf,SAST_RATS,386-423
contrib\blast\blast-test.c,main,True,CWE-398,"Parameter 'buf' can be declared as pointer to const. However it seems that 'outf' is a callback function, if 'buf' is declared with const you might also need to cast function pointer(s).",SAST_CPPCHECK,23-42
contrib\blast\blast-test.c,main,True,CWE-120,"Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).",SAST_FLAWFINDER,23-42
contrib\blast\blast-test.c,main,True,,getchar,SAST_RATS,23-42
contrib\blast\blast-test.c,main,True,,fprintf,SAST_RATS,23-42
contrib\infback9\infback9.c,makefixed9,True,,printf,SAST_RATS,50-106
contrib\iostream\test.cpp,main,False,,No issues found by SAST,None,4-24
contrib\iostream2\zstream_test.cpp,main,True,CWE-398,Variable 'h' can be declared as const array,SAST_CPPCHECK,6-25
contrib\iostream2\zstream_test.cpp,main,True,CWE-119,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).",SAST_FLAWFINDER,6-25
contrib\iostream2\zstream_test.cpp,main,True,CWE-398,Variable 'g' can be declared as pointer to const,SAST_CPPCHECK,6-25
contrib\iostream2\zstream_test.cpp,main,True,CWE-398,Variable 'z' can be declared as const array,SAST_CPPCHECK,6-25
contrib\iostream2\zstream_test.cpp,main,True,CWE-665,Variable 'z' is not assigned a value.,SAST_CPPCHECK,6-25
contrib\iostream2\zstream_test.cpp,main,True,,open,SAST_RATS,6-25
contrib\iostream3\test.cc,main,True,CWE-119,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).",SAST_FLAWFINDER,11-50
contrib\iostream3\test.cc,main,True,,open,SAST_RATS,11-50
contrib\minizip\ioapi.c,call_zseek64,False,,No issues found by SAST,None,40-51
contrib\minizip\ioapi.c,fill_zlib_filefunc64_32_def_from_filefunc32,False,,No issues found by SAST,None,66-78
contrib\minizip\ioapi.c,fill_fopen_filefunc,False,,No issues found by SAST,None,211-220
contrib\minizip\ioapi.c,fill_fopen64_filefunc,False,,No issues found by SAST,None,222-231
contrib\minizip\iowin32.c,fill_win32_filefunc,False,,No issues found by SAST,None,403-412
