file_path,func_name,sast_vulnerable,llm_vulnerable,sast_cwes,llm_cwes,note
tests\unity\src\unity.c,UnityPrintNumber,False,True,,CWE-190,LLM only
tests\unity\test\tests\testunity.c,testDoubleIsNotDeterminate1,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testEqualFloatEachEqualNaN,True,False,CWE-398,,SAST only
tests\cjson_add.c,cjson_create_float_array_should_fail_on_allocation_failure,True,False,CWE-398,,SAST only
tests\parse_number.c,assert_parse_number,True,False,CWE-126,,SAST only
tests\parse_value.c,assert_is_value,True,False,"CWE-398,CWE-476",,SAST only
tests\old_utils_tests.c,sort_tests,True,False,"CWE-119,CWE-327,CWE-398",,SAST only
tests\parse_object.c,assert_is_child,True,False,"CWE-398,CWE-476",,SAST only
tests\cjson_add.c,cjson_add_raw_should_fail_on_allocation_failure,False,True,,CWE-476,LLM only
tests\unity\extras\fixture\test\unity_output_Spy.c,UnityOutputCharSpy_Destroy,False,True,,CWE-415,LLM only
tests\parse_array.c,assert_is_array,True,False,"CWE-398,CWE-476",,SAST only
tests\unity\test\tests\testunity.c,testFloatNanIsNotInf,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testUnitySizeInitializationReminder,True,False,CWE-563,,SAST only
tests\misc_tests.c,cjson_get_object_item_should_not_crash_with_array,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testDoubleNanIsNotInf,True,False,CWE-398,,SAST only
tests\cjson_add.c,cjson_add_bool_should_add_bool,True,False,"CWE-398,CWE-476",,SAST only
cJSON_Utils.c,encode_string_as_pointer,False,True,,CWE-120,LLM only
tests\unity\test\tests\testunity.c,testNotEqualMemoryEachEqualExpectedNull,False,True,,CWE-476,LLM only
tests\cjson_add.c,cjson_add_number_should_add_number,True,False,"CWE-398,CWE-476",,SAST only
tests\cjson_add.c,cjson_add_string_should_add_string,True,False,"CWE-398,CWE-476",,SAST only
tests\parse_object.c,parse_object_should_parse_objects_with_multiple_elements,True,False,CWE-119,,SAST only
tests\unity\src\unity.c,UnityStringArgumentMatches,False,True,,CWE-125,LLM only
tests\misc_tests.c,cjson_create_object_reference_should_create_an_object_reference,False,True,,CWE-416,LLM only
tests\cjson_add.c,cjson_add_null_should_fail_on_allocation_failure,False,True,,CWE-476,LLM only
tests\misc_tests.c,cjson_array_foreach_should_loop_over_arrays,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testEqualStringArrayIfBothNulls,False,True,,CWE-476,LLM only
tests\unity\test\tests\testunity.c,testFloatsEqualBothNaN,True,False,CWE-398,,SAST only
tests\parse_object.c,assert_is_object,True,False,"CWE-398,CWE-476",,SAST only
tests\unity\test\tests\testunity.c,testEqualPtrArrays,False,True,,CWE-125,LLM only
tests\old_utils_tests.c,generate_merge_tests,True,False,CWE-398,,SAST only
tests\unity\src\unity.c,UnityPrint,False,True,,CWE-125,LLM only
tests\cjson_add.c,cjson_create_int_array_should_fail_on_allocation_failure,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testEqualDoubleEachEqualNaN,True,False,CWE-398,,SAST only
tests\parse_value.c,assert_parse_value,True,False,CWE-126,,SAST only
tests\unity\test\tests\testunity.c,testNotEqualPtrArraysNullExpected,False,True,,CWE-476,LLM only
tests\unity\test\tests\testunity.c,testHexPrintsUpToMaxNumberOfNibbles,True,False,CWE-126,,SAST only
cJSON_Utils.c,decode_pointer_inplace,False,True,,CWE-787,LLM only
tests\cjson_add.c,cjson_create_double_array_should_fail_on_allocation_failure,True,False,CWE-398,,SAST only
tests\cjson_add.c,cjson_add_object_should_fail_on_allocation_failure,False,True,,CWE-252,LLM only
tests\unity\extras\fixture\src\unity_fixture.c,UnityPointer_Set,False,True,,CWE-476,LLM only
