file,func,tool,gt_binary,pred_binary,message,is_correct
cJSON.c,case_insensitive_strcmp,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON.c,cast_away_const,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON.c,minify_string,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON.c,parse_hex4,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON.c,skip_multiline_comment,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON.c,skip_oneline_comment,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON.c,suffix_object,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON.c,update_offset,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,apply_patch,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,compare_strings,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON_Utils.c,compose_patch,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,create_patches,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,decode_pointer_inplace,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,encode_string_as_pointer,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,overwrite_item,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
cJSON_Utils.c,pointer_encoded_length,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
cJSON_Utils.c,sort_object,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
fuzzing\afl.c,main,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
fuzzing\cjson_read_fuzzer.c,LLVMFuzzerTestOneInput,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
fuzzing\fuzz_main.c,LLVMFuzzerTestOneInput,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
fuzzing\fuzz_main.c,main,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
test.c,create_objects,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
