file,func,tool,gt_binary,pred_binary,message,is_correct
contrib\blast\blast-test.c,main,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\infback9\infback9.c,makefixed9,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\iostream2\zstream_test.cpp,main,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\iostream3\test.cc,main,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\iostream\test.cpp,main,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\ioapi.c,call_zseek64,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen64_filefunc,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\ioapi.c,fill_fopen_filefunc,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\minizip\ioapi.c,fill_zlib_filefunc64_32_def_from_filefunc32,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64A,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\iowin32.c,fill_win32_filefunc64W,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,Display64BitsSize,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,change_file_date,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_banner,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_extract,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_currentfile,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\minizip\miniunz.c,do_extract_onefile,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_help,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
contrib\minizip\miniunz.c,do_list,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\minizip\miniunz.c,main,nan,VULNERABLE,NON_VULNERABLE,LLM as reference GT,False
contrib\minizip\miniunz.c,makedir,nan,NON_VULNERABLE,NON_VULNERABLE,LLM as reference GT,True
