file_path,func_name,sast_vulnerable,llm_vulnerable,sast_cwes,llm_cwes,note
test.c,array_cb,True,False,CWE-398,,SAST only
test.c,unexpected_cb,True,False,CWE-398,,SAST only
read.c,redisReaderGetReply,False,True,,CWE-476,LLM only
test.c,test_tcp_options,False,True,,CWE-476,LLM only
read.c,__redisReaderSetErrorProtocolByte,True,False,CWE-119,,SAST only
examples\example-push.c,privdata_dtor,True,False,CWE-398,,SAST only
net.c,redisNetWrite,False,True,,CWE-252,LLM only
read.c,redisReaderGrow,False,True,,CWE-755,LLM only
net.c,redisCheckConnectDone,False,True,,CWE-476,LLM only
test.c,send_hello,False,True,,CWE-617,LLM only
test.c,test_throughput,True,False,,,SAST only
examples\example-libuv.c,debugCallback,True,False,CWE-398,,SAST only
read.c,__redisReaderSetError,True,False,"CWE-120,CWE-126",,SAST only
async.c,redisAsyncHandleRead,False,True,,CWE-476,LLM only
async.c,__redisRunPushCallback,False,True,,CWE-248,LLM only
async.c,redisIsSubscribeReply,False,True,,CWE-125,LLM only
test.c,get_redis_version,True,False,"CWE-126,CWE-398",,SAST only
sds.c,sdsAllocSize,False,True,,CWE-125,LLM only
test.c,millisleep,True,False,CWE-676,,SAST only
hiredis.c,redisBufferRead,True,False,CWE-119,,SAST only
test.c,do_ssl_handshake,True,False,,,SAST only
test.c,send_client_tracking,False,True,,CWE-779,LLM only
test.c,push_handler,False,True,,CWE-476,LLM only
sds.c,sdsIncrLen,False,True,,CWE-787,LLM only
ssl.c,redisSSLRead,False,True,,CWE-754,LLM only
hiredis.c,__redisSetError,True,False,"CWE-120,CWE-126,CWE-398",,SAST only
async.c,__redisAsyncDisconnect,False,True,,CWE-476,LLM only
sockcompat.c,win32_redisKeepAlive,False,True,,CWE-200,LLM only
async.c,__redisRunConnectCallback,False,True,,CWE-476,LLM only
sockcompat.c,win32_setsockopt,False,True,,CWE-476,LLM only
dict.c,_dictExpandIfNeeded,False,True,,CWE-190,LLM only
read.c,chrtos,True,False,,,SAST only
sockcompat.c,win32_send,False,True,,CWE-681,LLM only
examples\example-qt.cpp,getCallback,False,True,,CWE-476,LLM only
read.c,processItem,True,False,CWE-398,,SAST only
async.c,redisAsyncSetDisconnectCallback,False,True,,CWE-476,LLM only
sockcompat.c,win32_getsockopt,False,True,,CWE-476,LLM only
dict.c,_dictClear,False,True,,CWE-125,LLM only
hiredis.c,redisFree,False,True,,CWE-416,LLM only
ssl.c,opensslDoLock,False,True,,CWE-787,LLM only
