file,func,tool,gt_multiclass,pred_multiclass,message,is_correct
alloc.c,hi_free,nan,NO_CWE,NO_CWE,LLM as reference GT,True
alloc.c,hiredisResetAllocators,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisAsyncCommand,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,__redisAsyncCopyError,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisAsyncDisconnect,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,__redisAsyncFree,nan,CWE-416,NO_CWE,LLM as reference GT,False
async.c,__redisAsyncHandleConnect,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisAsyncHandleConnectFailure,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisGetSubscribeCallback,nan,CWE-125,NO_CWE,LLM as reference GT,False
async.c,__redisPushCallback,nan,CWE-457,NO_CWE,LLM as reference GT,False
async.c,__redisRunCallback,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisRunConnectCallback,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,__redisRunDisconnectCallback,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,__redisRunPushCallback,nan,CWE-248,NO_CWE,LLM as reference GT,False
async.c,__redisSetError,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,__redisShiftCallback,nan,CWE-787,NO_CWE,LLM as reference GT,False
async.c,callbackKeyCompare,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,callbackKeyDestructor,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,callbackValDestructor,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncCommand,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncCommandArgv,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncDisconnect,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncFormattedCommand,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncFree,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncHandleRead,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,redisAsyncHandleTimeout,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncHandleWrite,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,redisAsyncRead,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncSetConnectCallback,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncSetConnectCallbackNC,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncSetDisconnectCallback,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,redisAsyncSetTimeout,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisAsyncWrite,nan,NO_CWE,NO_CWE,LLM as reference GT,True
async.c,redisIsSubscribeReply,nan,CWE-125,NO_CWE,LLM as reference GT,False
async.c,redisProcessCallbacks,nan,CWE-476,NO_CWE,LLM as reference GT,False
async.c,redisvAsyncCommand,nan,NO_CWE,NO_CWE,LLM as reference GT,True
dict.c,_dictClear,nan,CWE-125,NO_CWE,LLM as reference GT,False
dict.c,_dictExpandIfNeeded,nan,CWE-190,NO_CWE,LLM as reference GT,False
