file_path,func_name,sast_vulnerable,llm_vulnerable,sast_cwes,llm_cwes,note
read.c,processAggregateItem,True,False,"CWE-398,CWE-563",,SAST only
read.c,redisReaderGrow,False,True,,CWE-755,LLM only
test.c,test_resp3_push_options,True,False,CWE-398,,SAST only
examples\example-libuv.c,debugCallback,True,False,CWE-398,,SAST only
test.c,test_throughput,True,False,,,SAST only
net.c,redisKeepAlive,True,False,CWE-563,,SAST only
sockcompat.c,win32_getsockopt,False,True,,CWE-476,LLM only
ssl.c,redisSSLRead,False,True,,CWE-754,LLM only
read.c,__redisReaderSetError,True,False,"CWE-120,CWE-126",,SAST only
read.c,redisReaderFree,False,True,,CWE-476,LLM only
test.c,test_allocator_injection,True,False,CWE-398,,SAST only
examples\example-redismoduleapi.c,debugCallback,True,False,CWE-398,,SAST only
net.c,redisCreateSocket,False,True,,CWE-772,LLM only
test.c,unexpected_cb,True,False,CWE-398,,SAST only
read.c,__redisReaderSetErrorProtocolByte,True,False,CWE-119,,SAST only
read.c,redisReaderGetReply,False,True,,CWE-476,LLM only
test.c,send_hello,False,True,,CWE-617,LLM only
test.c,test_blocking_io_errors,False,True,,CWE-476,LLM only
net.c,redisCheckConnectDone,False,True,,CWE-476,LLM only
sds.c,sdsupdatelen,True,False,CWE-126,,SAST only
sds.c,sdsIncrLen,False,True,,CWE-787,LLM only
test.c,free_privdata,False,True,,CWE-476,LLM only
read.c,processItem,True,False,CWE-398,,SAST only
dict.c,dictReplace,False,True,,CWE-416,LLM only
net.c,redisNetWrite,False,True,,CWE-252,LLM only
async.c,redisAsyncHandleWrite,False,True,,CWE-476,LLM only
examples\example-redismoduleapi.c,getCallback,True,False,CWE-398,,SAST only
net.c,redisNetRead,True,False,,,SAST only
async.c,__redisRunDisconnectCallback,False,True,,CWE-476,LLM only
async.c,__redisAsyncDisconnect,False,True,,CWE-476,LLM only
sockcompat.c,win32_setsockopt,False,True,,CWE-476,LLM only
test.c,detect_debug_sleep,True,False,,,SAST only
test.c,as_printerr,True,False,,,SAST only
read.c,processLineItem,True,False,"CWE-119,CWE-120,CWE-398",,SAST only
ssl.c,redisSSLConnect,True,False,CWE-119,,SAST only
test.c,push_handler,False,True,,CWE-476,LLM only
async.c,__redisAsyncFree,False,True,,CWE-416,LLM only
sds.c,sdsfree,False,True,,CWE-761,LLM only
examples\example-qt.cpp,getCallback,False,True,,CWE-476,LLM only
test.c,get_redis_version,True,False,"CWE-126,CWE-398",,SAST only
