file_path,func_name,sast_vulnerable,llm_vulnerable,sast_cwes,llm_cwes,note
tests\parse_array.c,assert_is_array,True,False,"CWE-398,CWE-476",,SAST only
tests\unity\test\tests\testunity.c,testFloatsEqualBothNaN,True,False,CWE-398,,SAST only
tests\unity\src\unity.c,UnityPrint,False,True,,CWE-125,LLM only
tests\misc_tests.c,cjson_get_object_item_case_sensitive_should_get_object_items,True,False,"CWE-398,CWE-476",,SAST only
tests\minify_tests.c,cjson_minify_should_remove_single_line_comments,True,False,"CWE-120,CWE-476",,SAST only
tests\unity\test\tests\testunity.c,testFloatsNotEqualNaNInf,True,False,CWE-398,,SAST only
cJSON.c,skip_multiline_comment,False,True,,CWE-125,LLM only
tests\parse_object.c,assert_parse_object,True,False,CWE-126,,SAST only
tests\parse_number.c,assert_parse_number,True,False,CWE-126,,SAST only
tests\unity\test\tests\testunity.c,testDoubleIsNan1,True,False,CWE-398,,SAST only
tests\old_utils_tests.c,sort_tests,True,False,"CWE-119,CWE-327,CWE-398",,SAST only
tests\misc_tests.c,cjson_get_object_item_should_not_crash_with_array,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testFloatNanIsNotInf,True,False,CWE-398,,SAST only
tests\parse_array.c,parse_array_should_parse_arrays_with_multiple_elements,True,False,CWE-398,,SAST only
tests\unity\src\unity.c,UnityStringArgumentMatches,False,True,,CWE-125,LLM only
tests\misc_tests.c,cjson_get_object_item_case_sensitive_should_not_crash_with_array,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testDoublesEqualBothNaN,True,False,CWE-398,,SAST only
tests\readme_examples.c,create_monitor,True,False,,,SAST only
tests\unity\test\tests\testunity.c,testDoubleIsNotDeterminate1,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testFloatIsNan2,True,False,CWE-398,,SAST only
cJSON.c,suffix_object,False,True,,CWE-476,LLM only
tests\unity\test\tests\testunity.c,testEqualFloatEachEqualNaN,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testNotEqualMemoryEachEqualExpectedNull,False,True,,CWE-476,LLM only
tests\misc_tests.c,cjson_get_object_item_should_get_object_items,True,False,"CWE-398,CWE-476",,SAST only
tests\misc_tests.c,cjson_set_bool_value_must_not_break_objects,False,True,,CWE-476,LLM only
tests\cjson_add.c,cjson_add_true_should_add_true,True,False,"CWE-398,CWE-476",,SAST only
tests\parse_string.c,assert_not_parse_string,True,False,,,SAST only
tests\unity\test\tests\testunity.c,testDoublesNotEqualActualNaN,True,False,CWE-398,,SAST only
tests\cjson_add.c,cJSON_add_array_should_add_array,True,False,"CWE-398,CWE-476",,SAST only
cJSON_Utils.c,decode_pointer_inplace,False,True,,CWE-787,LLM only
tests\unity\extras\fixture\test\unity_output_Spy.c,UnityOutputCharSpy_Destroy,False,True,,CWE-415,LLM only
tests\unity\test\tests\testunity.c,testEqualDoubleEachEqualNaN,True,False,CWE-398,,SAST only
tests\unity\extras\fixture\src\unity_fixture.c,unity_calloc,False,True,,CWE-190,LLM only
tests\unity\test\tests\testunity.c,testEqualPtrArrays,False,True,,CWE-125,LLM only
fuzzing\afl.c,main,True,False,,,SAST only
tests\parse_number.c,assert_parse_big_number,True,False,CWE-126,,SAST only
tests\unity\extras\fixture\src\unity_fixture.c,release_memory,True,False,CWE-398,,SAST only
tests\unity\test\tests\testunity.c,testDoubleNanIsNotInf,True,False,CWE-398,,SAST only
tests\unity\extras\fixture\test\unity_output_Spy.c,UnityOutputCharSpy_OutputChar,False,True,,CWE-787,LLM only
tests\unity\src\unity.c,UnityPrintNumber,False,True,,CWE-190,LLM only
